objectid,objecttype,attributeid,attributetype
chndm_1931-45-75,object,1810s,date
chndm_1931-45-75,object,1820s,date
chndm_1931-45-8,object,1780s,date
chndm_1931-45-8,object,1790s,date
chndm_1931-45-88,object,1800s,date
chndm_1931-45-88,object,1810s,date
chndm_1931-45-92-a_b,object,1870s,date
chndm_1931-45-92-a_b,object,1880s,date
chndm_1931-59-141,object,1800s,date
chndm_1931-59-141,object,1850s,date
chndm_1931-59-219-b,object,1770s,date
chndm_1931-59-219-b,object,1800s,date
chndm_1931-59-238-d,object,1770s,date
chndm_1931-59-238-d,object,1800s,date
chndm_1931-59-402-a,object,1880s,date
chndm_1931-59-402-a,object,1900s,date
chndm_1931-59-446-a_b,object,1700s,date
chndm_1931-59-446-a_b,object,1800s,date
chndm_1931-59-90-b,object,1800s,date
chndm_1931-59-90-b,object,1900s,date
chndm_1931-6-125,object,1730s,date
chndm_1931-6-125,object,1740s,date
chndm_1931-61-15,object,1800s,date
chndm_1931-61-15,object,1900s,date
chndm_1931-64-169,object,1770s,date
chndm_1931-64-279,object,1750s,date
chndm_1931-64-279,object,1770s,date
chndm_1931-66-160,object,1720s,date
chndm_1931-66-160,object,1770s,date
chndm_1931-66-2,object,1820s,date
chndm_1931-67-65-a,object,1750s,date
chndm_1931-67-65-a,object,1760s,date
chndm_1931-70-38,object,1760s,date
chndm_1931-70-38,object,1780s,date
chndm_1931-70-44,object,1760s,date
chndm_1931-70-44,object,1780s,date
chndm_1931-71-83,object,1860s,date
chndm_1931-71-83,object,1870s,date
chndm_1931-73-295,object,1800s,date
chndm_1931-73-298,object,1800s,date
chndm_1931-73-7,object,1820s,date
chndm_1931-73-7,object,1830s,date
chndm_1931-80-101,object,1700s,date
chndm_1931-80-101,object,1720s,date
chndm_1931-80-95,object,1800s,date
chndm_1931-80-95,object,1820s,date
chndm_1931-82-12,object,1800s,date
chndm_1931-82-12,object,1900s,date
chndm_1931-85-1,object,1700s,date
chndm_1931-85-1,object,1800s,date
chndm_1931-86-115-a_c,object,1720s,date
chndm_1931-86-115-a_c,object,1770s,date
chndm_1931-86-152-a_b,object,1650s,date
chndm_1931-86-152-a_b,object,1750s,date
chndm_1931-86-53,object,1660s,date
chndm_1931-88-40-a_b,object,1600s,date
chndm_1931-88-40-a_b,object,1700s,date
chndm_1931-94-139,object,1690s,date
chndm_1931-94-139,object,1700s,date
chndm_1931-94-177,object,1730s,date
chndm_1931-94-177,object,1740s,date
chndm_1931-94-186,object,1690s,date
chndm_1931-94-186,object,1700s,date
chndm_1931-94-232,object,1540s,date
chndm_1931-94-232,object,1550s,date
chndm_1931-94-260,object,1910s,date
chndm_1931-94-39,object,1770s,date
chndm_1931-94-39,object,1780s,date
chndm_1931-94-79,object,1820s,date
chndm_1931-94-79,object,1900s,date
chndm_1931-95-12-a_c,object,1720s,date
chndm_1931-95-12-a_c,object,1770s,date
chndm_1932-1-41,object,1790s,date
chndm_1932-1-41,object,1800s,date
chndm_1932-1-50,object,1770s,date
chndm_1932-1-50,object,1800s,date
chndm_1932-1-7,object,1760s,date
chndm_1932-1-7,object,1770s,date
chndm_1933-1-148,object,1600s,date
chndm_1933-1-148,object,1800s,date
chndm_1933-1-5,object,1700s,date
chndm_1933-1-5,object,1800s,date
chndm_1934-12-1,object,1860s,date
chndm_1934-12-1,object,1890s,date
chndm_1934-13-5,object,1880s,date
chndm_1934-13-5,object,1890s,date
